question,raw_theme_id,rep1_cluster,rep2_cluster,resolution,final_cluster_id,rep1_justification,rep2_justification
3,RT_E62569EB24BB,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Meat as a costly restaurant treat is an economic framing not matched by any cluster's claim.,The claim that meat functions as a premium treat justifying restaurant spending matches no cluster's mechanism.
3,RT_E6C3C7A354BA,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,Sets intellectual recognition of arbitrariness against the practical grip of internalized cultural conditioning.,It voices the tension between intellectually recognizing the meat-masculinity norm as arbitrary and remaining behaviourally bound by internalized conditioning.
3,RT_FBC4505680CA,C13,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Concerns men's move from passive eating to cooking involvement, addressing the male cooking-engagement claim.",The claim that retirement triggers greater cooking involvement is a life-transition mechanism no cluster asserts.
3,RT_FE8DB70CC2BA,C9,C9,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C9,"Claims lifelong familiarity within a community removes performative pressure around diet, the familiarity-reduces-pressure claim.",It claims lifelong familiarity among close acquaintances strips dietary choice of performative pressure.
4,RT_007A664F2BFD,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"The claim is that barriers only matter if one wants to change, locating resistance in absent motivation rather than in obstacles.","The claim is that absence of any desire or motivation to change is what actually keeps the standard diet in place, with barriers being secondary."
4,RT_02D79392471E,C12,C12,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C12,"The claim is that people quietly go along with peer expectations by avoiding non-meat options while denying that norms influence them, thereby sustaining the norm.","The claim is that they go along with peer expectations by avoiding non-meat options, thereby quietly upholding the norm they say they don't think about."
4,RT_046C3854A641,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim that retirement frees men to share domestic cooking labour concerns a shift in household roles, not a barrier or driver defined by any cluster.","The claim concerns retirement freeing men to take on household cooking roles, which is not the substantive claim of any cluster about dietary change."
4,RT_1DE3D2964CB3,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,The claim questions whether choices made within a given set of options are real preferences or internalized conformity to prevailing norms.,The claim is the difficulty of telling genuine preference apart from conformity to the options and norms one has been given.
4,RT_3019B22C5373,C12,C3,CROSS_MODEL_UNRESOLVED,,"The claim is that the meat-eating norm is invisible and unchallenged, so following it silently reinforces its dominance.",The claim is the asymmetry of visibility: meat-eating escapes scrutiny while the alternative is noticed and questioned.
4,RT_3D0959BB6B11,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,The claim is that being seen in public makes food choices a self-conscious performance even absent overt judgement.,The claim is that being seen while eating turns the choice into a self-conscious performance even absent overt judgment.
4,RT_417DCA72C550,C7,C7,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C7,The claim is that dietary change disrupts shared household cooking arrangements and family routines.,"The claim is that the diet change would disturb cooking arrangements shared with family, i.e. established relational routines."
4,RT_42C8C2032B1B,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,The claim centres on the practical overhaul of cooking routines and learned recipes required to drop meat.,The claim locates the obstacle in the practical work of overhauling cooking routines and learned recipes.
4,RT_45A9C05857A2,UNCERTAIN,C1,CROSS_MODEL_UNRESOLVED,,The claim that reduced meat eating is an automatic reaction to circumstance rather than a moral decision does not match any cluster's account of barriers or motives.,"The claim is that eating patterns shift automatically without any deliberate intention, reflecting unexamined habitual behaviour rather than chosen change."
4,RT_4AC68448A4D2,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"The claim is that despite awareness of surrounding social meanings, there is simply no desire to alter existing eating habits.","The claim is that despite knowing the cultural meanings around meat, they simply have no interest in changing their own habits."
4,RT_4B6A3F7E54AF,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim concerns protein and training needs conflicting with plant-based eating, a nutritional/fitness argument that no cluster in the taxonomy captures.","The claim rests on protein and training needs conflicting with plant-based eating, a nutritional argument not captured by any cluster."
4,RT_67B60681D977,C20,C7,CROSS_MODEL_UNRESOLVED,,"The claim combines practical routine upheaval with disruption of social, commercial and community relationships, the dual logistical-plus-social strain.",The claim is that changing diet would unsettle established family cooking dynamics and the web of everyday relational habits.
4,RT_78CF9F6CD480,C21,C21,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C21,The claim identifies the greater expense of plant-based options as a key obstacle to adoption.,The claim frames cost as the primary obstacle to adopting plant-based options relative to conventional food.
4,RT_888610B58CF8,C1,C13,CROSS_MODEL_UNRESOLVED,,The claim is that staying with what feels comfortable may be unexamined complacency and an absence of motivation to question habits.,The claim weighs settled contentment with existing habits and relationships against the effort of disrupting them.
4,RT_8DE3CAACFBCB,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,The claim is that veganism stops being private and becomes a visible identity statement inviting social friction and judgement.,The claim is that veganism ceases to be a private choice and becomes a declared identity that generates social friction.
4,RT_9097A6A07379,C18,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim is about what makes a lifestyle change sustainable in practice, with isolation intensifying the difficulty of maintaining it.",The claim that sustaining change depends on having a group changing alongside you is not the substantive claim of any listed cluster.
4,RT_99B476DD98D0,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"The claim is that whether plant-based eating attracts judgement depends on the social audience, i.e. it is about exposure to social scrutiny.","The claim is that plant-based eating attracts judgment or acceptance depending on the audience, i.e. it makes the eater socially visible and subject to peer evaluation."
4,RT_9EA1D08F7406,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"The claim concerns participants both administering and fearing social policing of dietary difference, which is the scrutiny-and-labelling dynamic.","The claim is that dietary difference invites commentary and policing, with participants both dispensing and fearing that scrutiny."
4,RT_A4885E4A1893,C6,C6,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C6,Objecting to meat-style labelling of substitutes expresses distrust and dislike of plant-based products' transparency and authenticity.,"The objection is a distrust of meat-substitute products and their honesty of presentation, matching the skepticism toward alternatives."
4,RT_A5CDD83C69A9,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"The claim is that the meat default goes unquestioned while change is subjected to demanding scrutiny, reflecting unexamined habit and resistance to change.","The claim is that the meat default is sustained without examination while change must be justified, i.e. inertia protects the status quo."
4,RT_A66EC7A46836,C8,C8,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C8,"The claim insists meat eating is simply an individual taste preference and not an identity statement, matching the preference-based account rather than the masculinity-norm account.",The claim denies any gender-identity meaning and asserts that meat-eating is simply an individual taste preference.
4,RT_BA9506951710,C12,C3,CROSS_MODEL_UNRESOLVED,,"The claim is that choosing meat requires no justification, so conforming quietly keeps the dominant norm in place.",The claim is that meat requires no explanation and shields the eater from the scrutiny that alternatives attract.
4,RT_BEBD4D65D139,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,"The claim is that an apparent meat preference may be an internalized social default rather than genuine personal taste, which is the difficulty of separating real preference from conditioning.","The claim is that one cannot easily separate authentic preference for meat from an internalised, socially reinforced default."
4,RT_D79FC282BD61,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"The claim is that ordering a non-meat option makes one visible to teasing and comment from others, i.e. a social-scrutiny cost of dietary alternatives.",The claim is that departing from the food norm brings teasing and commentary that must be absorbed as a social cost of visibility.
4,RT_FF19ED857E41,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that plant-based dishes conveniently serve halal diners is a positive utility observation not represented in the taxonomy.,The claim that plant-based dishes usefully serve religious dietary requirements corresponds to no cluster in the taxonomy.
5,RT_014976EEFFAD,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim about self-worth following physical action does not map onto any cluster's substantive claim about diet change.,The claim about action restoring self-worth and appetite does not correspond to any cluster's claim about dietary change.
5,RT_042EF5CA830C,C7,C2,CROSS_MODEL_UNRESOLVED,,"The mechanism is price levels steering what people actually eat, making cost the operative factor.","It claims concrete financial pressure, not conviction, is what actually shifts their meat consumption."
5,RT_04E46D749D07,C16,C16,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C16,"The barrier identified is unreflective drift rather than any deliberate rejection, i.e. living on autopilot.",It claims the real barrier is drifting on autopilot without ever making an examined choice.
5,RT_0668F23FE84F,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,'Being considerate' is reinterpreted as a cover story excusing the absence of an intentional stance.,"The claim is that a virtuous label ('being considerate') masks an avoidance of taking any position, a self-justifying cover for non-engagement."
5,RT_0F82C63CF627,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,It stages an unresolved dispute between environmental availability and social visibility rather than asserting either claim.,The theme poses an unresolved dispute between environmental availability and social visibility as the main barrier rather than asserting either claim.
5,RT_1149D9B895DE,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,It concerns the personal cost of concealing non-conforming food choices to escape social visibility and friction.,"It claims dietary choices must be concealed because of social exposure, and that concealment itself is costly."
5,RT_11BA810B6876,C14,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It foregrounds local infrastructure and its loss as what actually shapes life, dwarfing food choices.","Its claim is that losing community infrastructure matters far more than food choices, which no cluster asserts."
5,RT_11BB8BD63F6A,C5,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,It argues the social barrier is exaggerated and functions as an excuse that evaporates upon action.,"It asserts social friction is overstated and evaporates on trying, contradicting rather than instantiating the social-friction cluster's claim."
5,RT_1377DDD16A4C,C3,C13,CROSS_MODEL_UNRESOLVED,,The claim is that making plant-based standard among peers removes the friction of standing out.,"The claim is that being the odd one out is the main obstacle, which peer-level adoption would remove."
5,RT_13A0555A36B0,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"It describes seeing one's own pattern clearly yet still not acting, the awareness-behaviour gap.","It claims awareness of one's autopilot does not produce change, people knowingly tolerate the gap instead of acting."
5,RT_1529F9A16610,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,Declarations and self-analysis are described as substitutes that legitimise not acting.,"The claim is that declared deadlines and self-analysis function as excuses that license continued inaction, matching the rationalization-of-inaction claim."
5,RT_1E9F1218EB96,C9,C9,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C9,Preferences are said to shift through trusted social sharing of food rather than intrinsic taste or marketing.,"It claims tastes shift through trusted social relationships sharing food, locating preference change in the social environment."
5,RT_1FB94B8D2E81,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,The fear of judgment specifically within male peer groups points to male-identity and community expectations as the constraint.,"The claim is that male peer contexts specifically make cooking a site of judgment, a masculinity-linked social barrier."
5,RT_210A1348A360,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,"Practical barriers are portrayed as entangled with and reinforcing a lack of will, i.e. barriers serving inaction.","It claims practical obstacles and absent motivation reinforce one another, so cited barriers effectively serve the underlying unwillingness to act."
5,RT_2D297F9964EA,C15,C15,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C15,"It lowers the bar for home cooking, valuing an imperfect hands-on attempt over avoidance.","The claim values imperfect hands-on cooking attempts over abstention, treating cooking as approachable rather than requiring skill."
5,RT_2EF35D53F0D5,C13,C5,CROSS_MODEL_UNRESOLVED,,Offering superficial answers to dodge conflict is about avoiding uncomfortable peer commentary over food positions.,Giving safe superficial answers is presented as a way of dodging the discomfort of taking an intentional position.
5,RT_2F5CF790A868,C6,C6,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C6,Plant-based food is dismissed as a disappointing substitute rather than satisfying food in its own right.,"It claims plant-based options are seen as unsatisfying substitutes rather than proper food, the deficiency the own-terms cluster addresses."
5,RT_333006BF766B,C5,C1,CROSS_MODEL_UNRESOLVED,,Analysis and self-understanding are cast as delay tactics that postpone real action.,It addresses the awareness–action gap by claiming action must come first because reflection becomes a substitute for doing.
5,RT_4302645040BE,C16,C16,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C16,It targets the passive autopilot acceptance of meat defaults as the thing to be broken.,It frames meat eating as a passive default and the appeal of plant-based as breaking that unthinking autopilot.
5,RT_4C46C090346F,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,Entrenched comfortable routines form the path of least resistance that blocks alternative behaviour.,Established comfortable routines are presented as the path of least resistance blocking any change in effort or practice.
5,RT_503780388364,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,Personal health payoffs are named as the appealing reason to change.,"Personal health benefits such as weight and blood sugar are cited as the appealing, self-interested motivator."
5,RT_63734E96A638,C14,C14,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C14,"Effortless routine is said to rest on surrounding infrastructure, which determines what remains available.","It claims effortless, unexamined routines exist only because surrounding infrastructure supplies them, making choice environment-dependent."
5,RT_66DC641D852F,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,The objection is to moralised labelling; neutral framing is needed to strip the accusatory signal.,"It claims the moralistic, accusatory framing of the label repels people and neutral everyday phrasing works better, i.e. stripping ideological signaling."
5,RT_7775D5B59070,UNCERTAIN,C3,CROSS_MODEL_UNRESOLVED,,Fear of feeling like an impostor in one's own identity is not the claim of any listed cluster.,The barrier claimed is that plant-based eating carries an alternative-identity signal that would feel like performing someone else's lifestyle.
5,RT_787EDC828C99,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,Absence of any desire to change is contentment with current eating patterns operating as the core obstacle.,"It claims the fundamental obstacle is simply not wanting to change, i.e. contentment with existing eating patterns."
5,RT_7A14AE78E836,C3,C13,CROSS_MODEL_UNRESOLVED,,It reasons about how plant-based eating becomes unremarkable and the friction that must be absorbed to get there.,"The claim is that visible non-conformers bear a social cost, which is the price of the choice becoming unremarkable."
5,RT_849858467CB8,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,"It addresses how a dietary change made one socially visible, contesting whether that visibility was chosen.","The claim concerns how dietary difference becomes socially visible, here unintentionally rather than as a chosen stand."
5,RT_85741A9F5CC6,C3,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,It concerns whether food remains laden with cultural-political meaning in daily life or has been decoupled from it.,"Its claim distinguishes remembered cultural controversy from present lived salience, which does not map onto any cluster's claim."
5,RT_8677482EDA56,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,Understanding a dynamic intellectually is said not to translate into changed behaviour.,"The claim is that understanding a dynamic intellectually does not translate into changed behaviour, the awareness–action gap."
5,RT_8825B01AAA56,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,Calling plant-based food unappealing is exposed as an excuse masking a decision not to try.,Calling plant-based food unappealing is identified as a cover story for a choice not to engage with it.
5,RT_8A5CF0FA1761,C6,C6,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C6,"Plant-based dishes must be genuinely good and satisfying in themselves, not just well presented.","The claim is that plant-based dishes must themselves be tasty and satisfying to win people over, independent of framing."
5,RT_98A331FFC982,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Protein and nutritional adequacy worries are distinct from the processing/additive skepticism or health-motivator claims available.,"The claim concerns doubts about nutritional and protein adequacy, which no cluster covers (processing skepticism and health-as-motivator make different claims)."
5,RT_99843F1412DF,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,"The debate is whether to rest in contentment, treating satisfaction with the status quo as the pivotal issue.","The debate is over whether contentment with current life should be disturbed at all, treating contentment as the obstacle in question."
5,RT_9C52D84AB168,C14,C6,CROSS_MODEL_UNRESOLVED,,The supply-demand loop means good plant-based options simply are not present in the local food environment.,"The claim is that poor-quality, unappealing plant-based dishes suppress demand, so appeal depends on offerings being genuinely good food."
5,RT_A10FBC40712A,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It denies that masculinity norms constrain diet, the opposite stance to the cluster asserting masculinity as a barrier, so it fits no cluster's claim.","It denies that masculinity norms constrain diet, the opposite claim of the masculinity-constraint cluster, and no cluster asserts the irrelevance of such norms."
5,RT_AAB381345B84,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,It asserts normalization means removing the marked status of plant-based choices so they carry no signal.,The claim is that plant-based eating becomes unremarkable only when quietly built into the default offering rather than marked as different.
5,RT_AFD5FC44FDAA,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,Deferring to whoever will order first is about avoiding the social exposure of the non-default choice.,The claim is that being the first to order plant-based carries a visible social risk that people wait for someone else to absorb.
5,RT_B3A743E3D833,C3,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,It claims the moralistic/political charge attached to food choices cannot easily be stripped away.,"It claims the political charge of food cannot be stripped away once established, the opposite of the decoupling claim, and fits no other cluster."
5,RT_B5BD923133AB,C2,C3,CROSS_MODEL_UNRESOLVED,,Change is said to require anchoring in what the person already personally values rather than abstract appeals.,It claims change is adopted only when it fits existing identity and requires no lifestyle transformation or signaling.
5,RT_C634F25B10DB,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,Comforting self-narratives are described as justifications shielding people from confronting their inaction.,Comforting narratives are described as devices to justify abandoning commitments and avoid confronting one's choices.
5,RT_D15C9203947E,C5,C1,CROSS_MODEL_UNRESOLVED,,It is about excuses: awareness is feared because it removes the justifications shielding inaction.,It claims awareness without corresponding action is uncomfortable precisely because it exposes the gap between knowing and doing.
5,RT_D349E75418A0,C14,C14,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C14,It claims local setting determines whether alternative choices are even visible or available.,"The claim is that rural settings make alternative choices invisible and unavailable, whereas urban infrastructure exposes them."
5,RT_D6D3D73271EC,UNCERTAIN,C1,CROSS_MODEL_UNRESOLVED,,The act-first versus reflect-first debate about voice and agency does not correspond to any cluster's claim.,The dispute is about whether action or prior reflection closes the gap between recognising something and doing it.
5,RT_E0AD8A326895,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"Resistance stems from the moralistic baggage attached to plant-based advocacy, which must be removed.","It claims moralising and guilt-based advocacy creates resistance, supporting the need to strip plant-based food of moral baggage."
5,RT_E20252D91998,C6,C6,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C6,The complaint is that plant-based dishes are served as afterthoughts rather than hearty appealing food.,The claim is that plant-based offerings are unappealing afterthoughts rather than dishes made hearty and desirable in their own right.
5,RT_ED9E336D1375,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,Change is said to stick only when it is embedded as default so it requires no effort and no standing out.,The claim is that change is viable only when embedded in ordinary norms and provision so it requires no effort or standing out.
5,RT_F1FE2C20842C,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,"Conscious, visible deviation is said to attract scrutiny while unnoticed drift does not.","It claims openly deliberate dietary change attracts peer scrutiny while unnoticed drift does not, a visibility-of-non-conformity claim."
5,RT_F42C8CE0D4DD,C15,C15,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C15,The stated need is skilled cooking demonstration showing plant-based meals can be delicious and doable.,"It claims skilled, demonstrated plant-based cooking is what is missing, i.e. culinary competence and inspiration make such meals feel accessible and satisfying."
5,RT_F4DBEDA5A869,C3,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It engages the claim that quiet normalization drives uptake, qualifying that frictionless integration yields only passive acceptance.","It denies that removing social friction generates genuine preference, contradicting rather than sharing the normalization cluster's claim."
5,RT_F93E85B410BA,C4,C13,CROSS_MODEL_UNRESOLVED,,Transition is framed as a sustained effort burden weighed against the ease of current habits.,The claim is that plant-based eating imposes ongoing daily social and practical costs on the person who departs from the norm.
5,RT_F9BB6FFA615E,C9,C9,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C9,Food acceptance is presented as socially constructed through community ties and trusted relationships.,The claim is that acceptance of food choices is produced by community ties and social context rather than intrinsic preference.
5,RT_FA33AB398E37,C11,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It engages the household cooking-role arrangement, disputing that dependency is restrictive.","It explicitly rejects the claim that household division of cooking labour is a constraint, so it does not make the domestic-dependency claim or any other cluster's claim."
